query_id,source_query,draft_steps,full_generation_ms,first_exact6_ms,first_stable_exact6_ms,first_exact6_equals_final,first_stable_exact6_equals_final,final_exact6,first_exact6_subqueries,stable_exact6_subqueries,final_subqueries
q030,benchmark datasets for embodied navigation,12,630.493,242.382,629.710,False,True,True,"[""survey of embodied AI navigation datasets and environments"", ""deep learning architectures for embodied navigation navigation navigation"", ""reinforcement learning methods for navigation navigation navigation navigation"", ""----real transfer and embodied navigation navigation"", ""--- and and- navigation navigation navigation"", ""limit and and and in in embodied navigation navigation""]","[""survey of embodied AI navigation datasets and benchmarks"", ""deep learning architectures for embodied robot navigation agents"", ""reinforcement learning methods for visual-spatial navigation tasks"", ""simulation-to-real transfer challenges in embodied navigation"", ""cross-embodiment and foundation models for navigation tasks"", ""limitations and open challenges in embodied navigation benchmarks""]","[""survey of embodied AI navigation datasets and benchmarks"", ""deep learning architectures for embodied robot navigation agents"", ""reinforcement learning methods for visual-spatial navigation tasks"", ""simulation-to-real transfer challenges in embodied navigation"", ""cross-embodiment and foundation models for navigation tasks"", ""limitations and open challenges in embodied navigation benchmarks""]"
q031,climate modeling with machine learning,10,534.351,195.057,389.008,False,True,True,"[""survey of machine learning applications in climate modeling"", ""deep learning architectures for weather prediction and weather prediction"", ""physics-informed neural networks for climate simulation"", ""generative models for GANs for climate down"", ""benchbench and metrics for machine learning climate models"", ""limitations and interpretability of machine learning climate climate""]","[""survey of machine learning applications in climate modeling"", ""deep learning architectures for weather prediction and climate forecasting"", ""physics-informed neural networks for climate simulation"", ""generative models and diffusion for climate downscaling"", ""benchmarks and datasets for machine learning climate models"", ""limitations and interpretability of AI in climate science""]","[""survey of machine learning applications in climate modeling"", ""deep learning architectures for weather prediction and climate forecasting"", ""physics-informed neural networks for climate simulation"", ""generative models and diffusion for climate downscaling"", ""benchmarks and datasets for machine learning climate models"", ""limitations and interpretability of AI in climate science""]"
q032,AI for extreme weather forecasting,11,582.619,243.636,581.898,False,True,True,"[""deep learning architectures for extreme weather event detection and prediction review"", ""transformers and CNNs for high-resolution weather forecasting"", ""transfer learning and data data techniques for rare extreme weather events"", ""generative models and diffusion models for stochastic weather simulation"", ""benchmarks and evaluation metrics for AI-based weather forecasting"", ""limitations and uncertainty challenges of AI in extreme weather forecasting""]","[""deep learning architectures for extreme weather event detection and prediction review"", ""transformers and CNNs for high-resolution meteorological forecasting"", ""transfer learning and data augmentation techniques for rare extreme weather events"", ""generative models and diffusion models for stochastic weather simulation"", ""benchmarks and evaluation metrics for AI-based atmospheric forecasting"", ""limitations and uncertainty quantification of AI in extreme climate modeling""]","[""deep learning architectures for extreme weather event detection and prediction review"", ""transformers and CNNs for high-resolution meteorological forecasting"", ""transfer learning and data augmentation techniques for rare extreme weather events"", ""generative models and diffusion models for stochastic weather simulation"", ""benchmarks and evaluation metrics for AI-based atmospheric forecasting"", ""limitations and uncertainty quantification of AI in extreme climate modeling""]"
q033,remote sensing foundation models,7,386.451,193.179,385.711,False,True,True,"[""survey of remote sensing foundation models and definitions"", ""vision transformers and large models for for satellite sensing"", ""self-supervised pre-training methods for satellite imagery imagery"", ""zero-shot and few-shot learning in sensing sensing"", ""benchmarks and evaluation metrics for remote foundation models"", ""challenges and limitations of of remote foundation foundation models""]","[""survey of remote sensing foundation models and architectures"", ""vision transformers and masked autoencoders for satellite imagery"", ""self-supervised pre-training methods for earth observation data"", ""zero-shot and few-shot learning in remote sensing"", ""benchmarks and evaluation metrics for RS foundation models"", ""challenges and limitations of foundation models in remote sensing""]","[""survey of remote sensing foundation models and architectures"", ""vision transformers and masked autoencoders for satellite imagery"", ""self-supervised pre-training methods for earth observation data"", ""zero-shot and few-shot learning in remote sensing"", ""benchmarks and evaluation metrics for RS foundation models"", ""challenges and limitations of foundation models in remote sensing""]"
q034,satellite image change detection,8,441.039,247.475,440.328,False,True,True,"[""satellite of change detection change detection survey and fundamental concepts"", ""deep learning architectures for multi-temporal change detection"", ""unsupervised and semi-supervised satellite change detection methods"", ""temporaltemporal change detection and for data methods"", ""benchmark datasets and evaluation metrics for satellite change detection"", ""challenges and limitations in optical-based change detection""]","[""review of satellite image change detection techniques and fundamental concepts"", ""deep learning architectures for multi-temporal change detection"", ""unsupervised and semi-supervised satellite change detection methods"", ""temporal registration and data fusion for change detection"", ""benchmark datasets and evaluation metrics for satellite change detection"", ""challenges and limitations in optical and SAR change detection""]","[""review of satellite image change detection techniques and fundamental concepts"", ""deep learning architectures for multi-temporal change detection"", ""unsupervised and semi-supervised satellite change detection methods"", ""temporal registration and data fusion for change detection"", ""benchmark datasets and evaluation metrics for satellite change detection"", ""challenges and limitations in optical and SAR change detection""]"
q035,machine learning for carbon capture materials,7,387.139,289.557,386.400,False,True,True,"[""review of machine learning for carbon capture and materials discovery"", ""deep learning architectures for MOF and MO adsorption prediction"", ""active learning strategies for high throughput screening of capture materials"", ""generative models for designing novel carbon capture frameworks"", ""benchmarks and datasets for carbon capture material performance"", ""challenges and data scarcity in machine learning for carbon capture research""]","[""review of machine learning for carbon capture and materials discovery"", ""deep learning architectures for MOF and zeolite adsorption prediction"", ""active learning strategies for high throughput screening of capture materials"", ""generative models for designing novel carbon capture adsorb"", ""benchmarks and datasets for carbon capture material performance"", ""challenges and data scarcity in machine learning for carbon capture research""]","[""review of machine learning for carbon capture and materials discovery"", ""deep learning architectures for MOF and zeolite adsorption prediction"", ""active learning strategies for high throughput screening of capture materials"", ""generative models for designing novel carbon capture adsorb"", ""benchmarks and datasets for carbon capture material performance"", ""challenges and data scarcity in machine learning for carbon capture research""]"
q036,energy efficient data center scheduling,9,483.680,242.212,482.954,False,True,True,"[""survey of energy- data center scheduling and and management techniques"", ""reinforcement learning for power-aware data center optimization"", ""deep learning models for power-aware workload placement"", ""dynamic resource scaling and scheduling for green data centers"", ""benchmarks and datasets for data center energy efficiency evaluation"", ""challenges and limitations of real-time energy center energy scheduling""]","[""survey of energy efficient data center scheduling and resource management techniques"", ""reinforcement learning for power-aware data center optimization"", ""deep learning models for energy-efficient workload placement"", ""dynamic VM scaling and scheduling in green data centers"", ""benchmarks and datasets for data center energy efficiency evaluation"", ""challenges and limitations of real-time energy-efficient scheduling""]","[""survey of energy efficient data center scheduling and resource management techniques"", ""reinforcement learning for power-aware data center optimization"", ""deep learning models for energy-efficient workload placement"", ""dynamic VM scaling and scheduling in green data centers"", ""benchmarks and datasets for data center energy efficiency evaluation"", ""challenges and limitations of real-time energy-efficient scheduling""]"
q037,deep learning for solar power forecasting,8,436.412,241.811,435.690,False,True,True,"[""survey of deep learning architectures for solar power and and forecasting"", ""comparison of LSTM GRU and Transformers for solar irradiance prediction"", ""transfer learning and domain adaptation for spatial power power forecasting"", ""probabilistic deep learning and uncertainty estimation for solar power"", ""benchmark datasets and metrics for for learning solar power forecasting"", ""challenges and limitations of deep learning in intermittent- power forecasting""]","[""survey of deep learning architectures for solar energy power output forecasting"", ""comparison of LSTM GRU and Transformers for solar irradiance prediction"", ""transfer learning and domain adaptation for spatial solar power forecasting"", ""probabilistic deep learning and uncertainty quantification in solar forecasting"", ""benchmark datasets and evaluation metrics for solar power prediction models"", ""challenges and limitations of deep learning in intermittent solar energy forecasting""]","[""survey of deep learning architectures for solar energy power output forecasting"", ""comparison of LSTM GRU and Transformers for solar irradiance prediction"", ""transfer learning and domain adaptation for spatial solar power forecasting"", ""probabilistic deep learning and uncertainty quantification in solar forecasting"", ""benchmark datasets and evaluation metrics for solar power prediction models"", ""challenges and limitations of deep learning in intermittent solar energy forecasting""]"
q038,AI methods for biodiversity monitoring,10,536.429,241.918,435.961,False,False,True,"[""review of artificial intelligence methods for biodiversity monitoring and conservation"", ""deep learning architectures for species identification in acoustic monitoring"", ""unsupervised learning and transfersupervised learning for ecological data data"", ""remote sensing and satellite imagery techniques for biodiversity assessment"", ""benchmarks and datasets for AI-based biodiversity assessment"", ""challenges and limitations of machine learning in ecological monitoring monitoring""]","[""review of artificial intelligence methods for biodiversity monitoring and conservation"", ""deep learning architectures for species identification and acoustic monitoring"", ""unsupervised and semi-supervised learning for ecological data analysis"", ""remote sensing and satellite imagery analysis for habitat assessment"", ""benchmarks and datasets for AI-based biodiversity monitoring"", ""challenges and limitations of machine learning in wildlife population modeling""]","[""review of artificial intelligence methods for biodiversity monitoring and conservation"", ""deep learning architectures for species identification and acoustic monitoring"", ""unsupervised and semi-supervised learning for ecological data analysis"", ""remote sensing and satellite imagery analysis for habitat assessment"", ""benchmarks and datasets for AI-based biodiversity monitoring"", ""challenges and limitations of machine learning in wildlife population tracking""]"
q039,climate risk assessment with graph models,9,484.646,241.226,482.818,False,True,True,"[""climate risk assessment using graph-based modeling and and survey"", ""graph neural networks for climate impact prediction and vulnerability mapping"", ""training methods for for graph models in climate risk models"", ""probabilistic graph models and sampling for climate risk uncertainty"", ""benchmarks and datasets for graph-based climate risk analysis"", ""limitations and challenges of graph models for climate risk modeling""]","[""climate risk assessment using graph-based modeling review and survey"", ""graph neural networks for climate change prediction and vulnerability mapping"", ""training methods for temporal graph models in climate data analysis"", ""probabilistic graph models and sampling for climate uncertainty quantification"", ""benchmarks and datasets for graph-based climate risk evaluation"", ""limitations and challenges of graph models in climate risk modeling""]","[""climate risk assessment using graph-based modeling review and survey"", ""graph neural networks for climate change prediction and vulnerability mapping"", ""training methods for temporal graph models in climate data analysis"", ""probabilistic graph models and sampling for climate uncertainty quantification"", ""benchmarks and datasets for graph-based climate risk evaluation"", ""limitations and challenges of graph models in climate risk modeling""]"
q040,machine learning for wildfire prediction,8,438.502,195.848,437.752,False,True,True,"[""survey of machine learning techniques for wildfire detection and prediction"", ""deep learning architectures. random forest for wildfire fire spread"", ""sp- learning for for- for wildfire fire prediction"", ""real-time inference and satellite data for wildfire wildfire monitoring"", ""bench datasets and datasets for wildfire wildfire prediction"", ""challenges and interpret interpretability in wildfire wildfire models""]","[""survey of machine learning techniques for wildfire detection and prediction"", ""deep learning architectures versus random forest for fire spread modeling"", ""spatio-temporal neural networks for wildfire risk assessment"", ""real-time inference and satellite data fusion for fire monitoring"", ""benchmark datasets and metrics for wildfire prediction models"", ""challenges and interpretability in machine learning wildfire forecasting""]","[""survey of machine learning techniques for wildfire detection and prediction"", ""deep learning architectures versus random forest for fire spread modeling"", ""spatio-temporal neural networks for wildfire risk assessment"", ""real-time inference and satellite data fusion for fire monitoring"", ""benchmark datasets and metrics for wildfire prediction models"", ""challenges and interpretability in machine learning wildfire forecasting""]"
q041,neural information retrieval benchmarks,9,484.480,291.101,483.743,False,True,True,"[""survey of neural information retrieval architectures and definitions"", ""encoder-encoder vs cross-encoder models for dense retrieval"", ""contrastive learning objectives for neural dense retrieval"", ""efficient inference and vector techniques techniques for neural search"", ""MS MARCO and BEIRIR benchmarks performance analysis"", ""limitations and challenges in neural information retrieval systems""]","[""survey of neural information retrieval architectures and definitions"", ""encoder-encoder vs cross-encoder models for dense retrieval"", ""contrastive learning objectives for neural dense retrieval"", ""efficient inference and vector indexing techniques for neural search"", ""MS MARCO and BEIR benchmark results performance analysis"", ""limitations and challenges in neural information retrieval systems""]","[""survey of neural information retrieval architectures and definitions"", ""encoder-encoder vs cross-encoder models for dense retrieval"", ""contrastive learning objectives for neural dense retrieval"", ""efficient inference and vector indexing techniques for neural search"", ""MS MARCO and BEIR benchmark results performance analysis"", ""limitations and challenges in neural information retrieval systems""]"
q042,dense retrieval for scientific literature search,7,385.974,240.916,385.266,False,True,True,"[""survey of dense retrieval methods for scientific documents"", ""bi-encoder vs cross-encoder architectures for text search"", ""contrastive learning and hard negative mining for dense retrieval"", ""efficient inference and vector for for dense retrieval"", ""benchmarks for dense retrieval in in literature literature"", ""limitations and challenges of dense retrieval for technical text""]","[""survey of dense retrieval methods for scientific documents"", ""bi-encoder vs cross-encoder architectures for literature search"", ""contrastive learning and hard negative mining for dense retrieval"", ""efficient inference and vector indexing for scientific search"", ""benchmarks for dense information retrieval in specialized domains"", ""limitations and challenges of dense retrieval in technical text""]","[""survey of dense retrieval methods for scientific documents"", ""bi-encoder vs cross-encoder architectures for literature search"", ""contrastive learning and hard negative mining for dense retrieval"", ""efficient inference and vector indexing for scientific search"", ""benchmarks for dense information retrieval in specialized domains"", ""limitations and challenges of dense retrieval in technical text""]"
q043,hybrid search combining BM25 and embeddings,10,532.740,291.260,387.549,False,False,True,"[""hybrid information retrieval survey BM25 and dense embeddings survey"", ""architectures for combining sparse and dense vector retrieval"", ""cross-encoder vs bi-encoder for hybrid search"", ""reciprocal rank fusion vs alpha fusion methods for hybrid search"", ""performance benchmarks of hybrid search retrieval systems"", ""limitations and challenges of lexical- in dense retrieval""]","[""hybrid information retrieval survey BM25 and dense embeddings survey"", ""architect for for combining sparse and dense vector retrieval"", ""cross-encoder vs bi-encoder in hybrid search"", ""reciprocal rank fusion vs alpha fusion methods for hybrid search"", ""performance benchmarks of hybrid search retrieval systems"", ""limitations and challenges of lexical and semantic search fusion""]","[""hybrid information retrieval survey BM25 and dense embeddings"", ""architectural patterns for combining sparse and dense vector retrieval"", ""cross-encoder vs bi-encoder in hybrid search"", ""reciprocal rank fusion vs alpha fusion methods for hybrid search"", ""performance benchmarks of hybrid search retrieval systems"", ""limitations and challenges of lexical and semantic search fusion""]"
q044,query rewriting for conversational search,9,486.228,195.564,485.443,False,True,True,"[""definitions and frameworks of query rewriting in conversational search systems"", ""large language model architectures for conversational rewriting and rewriting"", ""fine-tuning and and methods for conversational query rewriting"", ""inference strategies and sampling strategies for conversational conversational query rewriting"", ""benchmarks and evaluation metrics for conversational rewriting performance"", ""limitations and challenges in query rewriting in conversational conversational""]","[""definitions and taxonomy of query rewriting in conversational information retrieval"", ""large language model architectures for conversational query deconstruction"", ""fine-tuning and prompt engineering techniques for query rewriting"", ""inference strategies and decoding methods for multi-turn dialogue"", ""benchmarks and evaluation metrics for query rewriting performance"", ""limitations and challenges in query rewriting for conversational search systems""]","[""definitions and taxonomy of query rewriting in conversational information retrieval"", ""large language model architectures for conversational query deconstruction"", ""fine-tuning and prompt engineering techniques for query rewriting"", ""inference strategies and decoding methods for multi-turn dialogue"", ""benchmarks and evaluation metrics for query rewriting performance"", ""limitations and challenges in query rewriting for conversational search systems""]"
q045,learning to rank with large language models,9,487.291,243.287,486.549,False,True,True,"[""survey of large language models for learning to rank"", ""LLM-based re-ranking architectures and information retrieval"", ""fine-tuning large language models for information retrieval tasks"", ""zero-shot LLM ranking vs.M-generated ranking"", ""benchmarks and datasets for LLM information ranking"", ""limitations and computational efficiency of LLMs in information retrieval""]","[""survey of large language models for learning to rank"", ""LLM-based re-ranking architectures and model families"", ""fine-tuning large language models for information retrieval ranking"", ""zero-shot and few-shot ranking with large language models"", ""benchmarks and datasets for LLM ranking performance"", ""limitations and computational efficiency of LLMs in information retrieval""]","[""survey of large language models for learning to rank"", ""LLM-based re-ranking architectures and model families"", ""fine-tuning large language models for information retrieval ranking"", ""zero-shot and few-shot ranking with large language models"", ""benchmarks and datasets for LLM ranking performance"", ""limitations and computational efficiency of LLMs in information retrieval""]"
q046,evaluation metrics for retrieval augmented generation,10,531.950,289.513,531.242,False,True,True,"[""survey of evaluation metrics for retrieval augmented generation RAG"", ""RAGAS framework faithfulness answer relevance metrics metrics"", ""automated vs vs human evaluation for R RAG systems"", ""retrieval- vs generation metrics metrics in RAG"", ""benchmarks for datasets for evaluating augmented generation performance"", ""limitations and challenges in current RAG evaluation methods""]","[""survey of evaluation metrics for retrieval augmented generation RAG"", ""RAGAS framework faithfulness answer relevance context precision metrics"", ""automated vs human evaluation methods for RAG systems"", ""retrieval quality vs generation quality metrics in LLMs"", ""benchmarks and datasets for evaluating retrieval augmented generation"", ""limitations and challenges in current RAG evaluation methodologies""]","[""survey of evaluation metrics for retrieval augmented generation RAG"", ""RAGAS framework faithfulness answer relevance context precision metrics"", ""automated vs human evaluation methods for RAG systems"", ""retrieval quality vs generation quality metrics in LLMs"", ""benchmarks and datasets for evaluating retrieval augmented generation"", ""limitations and challenges in current RAG evaluation methodologies""]"
q047,citation recommendation in academic search,10,531.426,289.896,530.710,False,True,True,"[""survey and survey of citation recommendation systems in academic literature"", ""graph neural networks and transformer models for citation prediction"", ""supervised and and learning learning for citation recommendation"", ""context-aware recommendation strategies for citation generation"", ""benchmarks and evaluation metrics for citation recommendation systems"", ""challenges and biases in automated citation recommendation""]","[""survey and review of citation recommendation systems in academic literature"", ""graph neural networks and transformer models for citation prediction"", ""supervised and unsupervised learning methods for citation recommendation"", ""context-aware citation recommendation and sampling strategies"", ""benchmarks and evaluation metrics for citation recommendation tasks"", ""challenges and limitations in automated citation recommendation systems""]","[""survey and review of citation recommendation systems in academic literature"", ""graph neural networks and transformer models for citation prediction"", ""supervised and unsupervised learning methods for citation recommendation"", ""context-aware citation recommendation and sampling strategies"", ""benchmarks and evaluation metrics for citation recommendation tasks"", ""challenges and limitations in automated citation recommendation systems""]"
q048,entity linking for knowledge graph construction,9,483.579,241.722,482.862,False,True,True,"[""entity linking for knowledge graph construction survey review"", ""deep learning architectures for entity linking and knowledge graphs"", ""unsupervised and self-supervised learning for entity linking"", ""real-time entity linking inference and and for techniques"", ""bench and and datasets for entity linking knowledge graph"", ""challenges and limitations of of entity for for large-scale knowledge graphs""]","[""entity linking for knowledge graph construction survey review"", ""deep learning architectures for entity linking and disambiguation"", ""unsupervised and self-supervised learning for entity linking"", ""real-time entity linking inference and scalable sampling methods"", ""benchmarks and datasets for knowledge graph entity linking performance"", ""challenges and limitations of automated entity linking in large-scale graphs""]","[""entity linking for knowledge graph construction survey review"", ""deep learning architectures for entity linking and disambiguation"", ""unsupervised and self-supervised learning for entity linking"", ""real-time entity linking inference and scalable sampling methods"", ""benchmarks and datasets for knowledge graph entity linking performance"", ""challenges and limitations of automated entity linking in large-scale graphs""]"
q049,semantic search for code repositories,9,483.264,241.607,434.454,False,True,True,"[""survey of semantic search for for code code repositories"", ""transformer-based models for code embedding and retrieval"", ""pre-training and contrastive learning for code code"", ""vector databases and and techniques for code code search"", ""benchmarks for semantic code search performance evaluation"", ""limitations and challenges in cross-modal code search""]","[""survey of semantic search techniques for source code repositories"", ""transformer-based models for code embedding and retrieval"", ""pre-training and contrastive learning for code representation"", ""vector database and dense retrieval for software code search"", ""benchmarks for semantic code search performance evaluation"", ""limitations and challenges in cross-lingual code semantic search""]","[""survey of semantic search techniques for source code repositories"", ""transformer-based models for code embedding and retrieval"", ""pre-training and contrastive learning for code representation"", ""vector database and dense retrieval for software code search"", ""benchmarks for semantic code search performance evaluation"", ""limitations and challenges in cross-lingual code semantic search""]"
q050,personalized search with privacy constraints,7,393.848,242.461,344.738,False,True,True,"[""survey of privacy-preserving personalized recommendation systems and engines"", ""federated learning for personalized search engines techniques"", ""differential privacy in personalized information retrieval models"", ""on-device computation for private- search search"", ""benchmarks for privacy-preserving personalized search systems"", ""challenges and trade-offs between personalization relevance and privacy privacy""]","[""survey of privacy-preserving personalized recommendation systems and search"", ""federated learning for personalized search engines techniques"", ""differential privacy in personalized information retrieval models"", ""on-device computation for private personalized search architectures"", ""benchmarks for privacy-preserving personalized ranking algorithms"", ""challenges and trade-offs between personalization accuracy and user privacy""]","[""survey of privacy-preserving personalized recommendation systems and search"", ""federated learning for personalized search engines techniques"", ""differential privacy in personalized information retrieval models"", ""on-device computation for private personalized search architectures"", ""benchmarks for privacy-preserving personalized ranking algorithms"", ""challenges and trade-offs between personalization accuracy and user privacy""]"
q051,adversarial attacks on vision language models,10,534.871,242.502,534.111,False,True,True,"[""survey of adversarial attacks on vision-language pre- models"", ""vulnerabilities of CLIP and BLIP to adversarial perturbations"", ""adversarial training defenses for multimodal visionlanguage models"", ""cross-modal adversarial attacks and text- text injection"", ""benchmarks for robustness of vision-language models"", ""limitations and transferability of vision-language attacks""]","[""survey of adversarial attacks on vision-language pretraining models"", ""vulnerabilities of CLIP and BLIP to adversarial perturbations"", ""adversarial training defenses for multimodal vision language models"", ""cross-modal adversarial attacks on image-text alignment"", ""benchmarks for robustness of vision-language models"", ""limitations and transferability of adversarial examples in multimodal systems""]","[""survey of adversarial attacks on vision-language pretraining models"", ""vulnerabilities of CLIP and BLIP to adversarial perturbations"", ""adversarial training defenses for multimodal vision language models"", ""cross-modal adversarial attacks on image-text alignment"", ""benchmarks for robustness of vision-language models"", ""limitations and transferability of adversarial examples in multimodal systems""]"
q052,watermarking generated text from language models,9,484.911,291.282,484.210,False,True,True,"[""survey of text watermarking techniques for large language models"", ""statistical watermarking methods for generative AI text"", ""watermarking during model training and inference strategies"", ""watermarking during inference and log distribution strategies"", ""benchmarking text watermarking robustness and detection quality"", ""limitations and attacks against LLM text watermarking""]","[""survey of text watermarking techniques for large language models"", ""statistical watermarking methods for generative AI text"", ""watermarking during model training vs inference strategies"", ""watermarking sampling algorithms and logit manipulation"", ""benchmarking text watermarking robustness and detection quality"", ""limitations and attacks against LLM text watermarking""]","[""survey of text watermarking techniques for large language models"", ""statistical watermarking methods for generative AI text"", ""watermarking during model training vs inference strategies"", ""watermarking sampling algorithms and logit manipulation"", ""benchmarking text watermarking robustness and detection quality"", ""limitations and attacks against LLM text watermarking""]"
q053,detecting synthetic media with deep learning,13,678.094,291.783,581.048,False,False,True,"[""survey of synthetic media detection using deep learning techniques"", ""deep learning architectures for deepfake detection in video"", ""unsupervised and self-supervised learning for synthetic image detection"", ""generalization and robustness robustness of synthetic media detectors"", ""benchmarks and datasets for synthetic media detection"", ""limitations and adversarial attacks on deep learning based detectors""]","[""survey of synthetic media detection using deep learning techniques"", ""deep learning architectures for deepfake detection in video"", ""unsupervised and self-supervised learning for synthetic image forgery"", ""generalization and robustness of synthetic media detectors detectors"", ""benchmarks and datasets for synthetic media evaluation"", ""limitations and adversarial attacks on deep learning based detectors""]","[""survey of synthetic media detection using deep learning techniques"", ""deep learning architectures for deepfake detection in video"", ""unsupervised and self-supervised learning for synthetic image forgery"", ""generalization and robustness of synthetic media detectors models"", ""benchmarks and datasets for synthetic media evaluation"", ""limitations and adversarial attacks on deep learning based detectors""]"
q054,red teaming large language models,12,629.890,242.432,629.148,False,True,True,"[""survey of red teaming teaming methodologies for large language models"", ""adversarial attacks and jailbreaking techniques in LL LLMs"", ""automated red teaming and LL-based LL LLMs"", ""jail alignment techniques and safety alignment in LLM models"", ""benchmarks for evaluating LLM safety and robustness"", ""limitations and ethical challenges of manual teaming teaming in AI""]","[""survey of red teaming frameworks methodologies for large language models"", ""adversarial attacks and jailbreaking techniques in LLM inference"", ""automated red teaming and LLM-based vulnerability discovery"", ""safety guardrails and alignment techniques during language model training"", ""benchmarks for evaluating LLM safety and robustness"", ""limitations and ethical challenges in red teaming generative AI models""]","[""survey of red teaming frameworks methodologies for large language models"", ""adversarial attacks and jailbreaking techniques in LLM inference"", ""automated red teaming and LLM-based vulnerability discovery"", ""safety guardrails and alignment techniques during language model training"", ""benchmarks for evaluating LLM safety and robustness"", ""limitations and ethical challenges in red teaming generative AI models""]"
q055,data poisoning attacks on foundation models,17,875.292,241.456,537.003,False,False,True,"[""survey of data poisoning attacks on large scale foundation models"", ""backdoordoor in in large language models and vision transformers"", ""fine-tuning data poisoning and and- learning techniques"", ""backback attacks and and attacks in generative generative models"", ""benchmarks and datasets for evaluating data poisoning robustness"", ""defense mechanisms and robustness against data poisoning in foundation models""]","[""survey of data poisoning attacks on large scale foundation models"", ""backdoor attacks on pre- language models and vision transformers"", ""fine-tuning data poisoning vulnerabilities and adaptive learning attacks"", ""poisoning-based inference time attacks on generative AI"", ""benchmarks and datasets for evaluating data poisoning robustness"", ""defense mechanisms and mitigation of data poisoning in foundation models""]","[""survey of data poisoning attacks on large scale foundation models"", ""backdoor attacks on pretraining language models and vision transformers"", ""fine-tuning data poisoning vulnerabilities and adaptive learning attacks"", ""poisoning-based inference time attacks on generative AI"", ""benchmarks and datasets for evaluating data poisoning robustness"", ""defense mechanisms and mitigation of data poisoning in foundation models""]"
q056,privacy leakage in language model memorization,10,533.091,290.699,532.353,False,True,True,"[""privacy leakage and definitions in large language model memorization"", ""memorization vulnerabilities vulnerabilities in transformer-based models language models"", ""differential privacy techniques for mitigating language model memorization"", ""inference attacks and membership attacks on language models"", ""benchmarks for measuring sensitive data extraction in LLMs"", ""limitations and risks of privacy-preserving training model methods""]","[""privacy leakage and definitions of large language model memorization"", ""memorization vulnerabilities in transformer-based models and GPT family"", ""differential privacy techniques for mitigating training data memorization"", ""inference attacks and membership inference on language models"", ""benchmarks for measuring sensitive information extraction in LLMs"", ""limitations and risks of privacy-preserving sampling methods""]","[""privacy leakage and definitions of large language model memorization"", ""memorization vulnerabilities in transformer-based models and GPT family"", ""differential privacy techniques for mitigating training data memorization"", ""inference attacks and membership inference on language models"", ""benchmarks for measuring sensitive information extraction in LLMs"", ""limitations and risks of privacy-preserving sampling methods""]"
q057,jailbreak defenses for chat assistants,9,483.219,241.584,482.525,False,True,True,"[""taxonomy of LLM jailbreak attacks and defense mechanisms survey"", ""adversarial training and safety alignment for large language models"", ""safety-- reinforcement learning from human feedback forHFHF"", ""inference-time safety filters and input filtering filtering for assistants"", ""benchmarks for evaluating LLM robustness against jail injection"", ""limitations and evasion attacks of current current defense defenses""]","[""taxonomy of LLM jailbreak attacks and defense mechanisms survey"", ""adversarial training and safety alignment for large language models"", ""safety-constrained reinforcement learning from human feedback jailbreak prevention"", ""inference-time safety filters and input output moderation chat assistants"", ""benchmarks for evaluating LLM robustness against prompt injection"", ""limitations and vulnerabilities of current LLM safety defenses""]","[""taxonomy of LLM jailbreak attacks and defense mechanisms survey"", ""adversarial training and safety alignment for large language models"", ""safety-constrained reinforcement learning from human feedback jailbreak prevention"", ""inference-time safety filters and input output moderation chat assistants"", ""benchmarks for evaluating LLM robustness against prompt injection"", ""limitations and vulnerabilities of current LLM safety defenses""]"
q058,model extraction attacks on deployed APIs,8,440.627,244.826,439.904,False,True,True,"[""survey of model extraction attacks on machine learning APIs"", ""vulnerability of deep learning models to model model attacks"", ""active learning and transfer learning for model extraction techniques"", ""defense mechanisms and query limiting against API model extraction"", ""benchmarks for evaluating model extraction efficiency and accuracy"", ""limitations and constraints of modelbasedbased attacks""]","[""survey of model extraction attacks on machine learning APIs"", ""vulnerability of deep learning models to function estimation attacks"", ""active learning and transfer learning for model extraction attacks"", ""defense mechanisms and query limiting against API model extraction"", ""benchmarks for evaluating model extraction efficiency and accuracy"", ""limitations and constraints of synthetic data generation attacks""]","[""survey of model extraction attacks on machine learning APIs"", ""vulnerability of deep learning models to function estimation attacks"", ""active learning and transfer learning for model extraction attacks"", ""defense mechanisms and query limiting against API model extraction"", ""benchmarks for evaluating model extraction efficiency and accuracy"", ""limitations and constraints of synthetic data generation attacks""]"
q059,secure inference for neural networks on edge devices,10,534.591,293.230,437.627,False,True,True,"[""survey of privacy-preserving neural network for edge computing"", ""homomorphic encryption for lightweight neural networks on hardware"", ""secure multi-party computation for distributed edge learning edge devices"", ""TEE based secure inference of deep learning networks"", ""benchmarking performance overhead of secure inference on mobile devices"", ""limitations and attack models of secure edge AI AI""]","[""survey of privacy-preserving neural network inference edge computing"", ""homomorphic encryption for lightweight neural networks on hardware"", ""secure multi-party computation for distributed edge-cloud inference"", ""TEE based secure execution for deep learning models"", ""benchmarking performance overhead of secure inference on mobile devices"", ""limitations and attack vectors against encrypted edge AI models""]","[""survey of privacy-preserving neural network inference edge computing"", ""homomorphic encryption for lightweight neural networks on hardware"", ""secure multi-party computation for distributed edge-cloud inference"", ""TEE based secure execution for deep learning models"", ""benchmarking performance overhead of secure inference on mobile devices"", ""limitations and attack vectors against encrypted edge AI models""]"
